ID,Model,Bibtex,Venue,Dependencies,Relationship,OCR,Architecture,OCR Engine,Prompt Strategies,Search Strategies,Agentic ,Modality,Vision Encoder,LLM/MLLM,Downstream Task,LLM Role,Key Technique,Model Architecture,Dataset,,,Pretraining,Instruct / Fine Tuning,Domain
23,MDocAgent,han2025mdocagent,preprint,ColBERT; ColPali; RAG; ReAct; Qwen2-VL,text retrieval; visual retrieval; retrieve-then-read paradigm; agent orchestration; VLM backbone,Yes*,Retriever-Generator Pipeline,PDF parser (unspecified) + Localised (ColBERTv2),N/A,Joint,Fixed,"T, V","ColPali, ColQwen2","LLaMA-3.1-8B-Instruct, Qwen2-VL-7B-Instruct",QA,LLMs/MLLMs are frozen and adopted as specialised agents. Llama-3.1-8B-Instruct is used as text agent and Qwen2VL-7B-Instruct used for others. ColBERTv2 and ColPali used as vision and language retriever. ,"Design a multi-agent framework to integrate specialized agents from text/image understanding, critical information extraction and fianl answer prediction. ",Multi-agents structure combining several LLMs/MLLMs. ,N/A,N/A,MMLongBench LongDocUrl PaperTab PaperText FetaTab,N/A,N/A,"VRD, Chart, Table"
24,MHier-RAG,gong2025mhier,preprint,RAG; ColPali; Qwen2-VL; BM25,hierarchical retrieval framework; visual page retrieval; answer generation backbone; sparse first-stage retrieval,Yes,Retriever-Generator Pipeline,Docling (PDF parser),CoT,Joint,N/A,"T, V, L",Qwen-VL-Plus,"Qwen-VL-Plus, GPT-3-turbo, Qwen-turbo, GPT-4o, DeepSeek-chat, ERNIE-turbo",QA,"LVLM (Qwen-VL-Plus) converts visual content to text content descriptions, GPT-3-turbo summarises clustered cross-page chunks, Qwen-turb LVLM re-ranks retrieved parent pages, Qwen-turbo/GPT-4o/DeepSeek-chat/ERNIE-turbo LLM for final answer generation wtih CoT",Multi-modal RAG with two complementary hierarchical index structures: (1) a Flattened In-Page Index enabling parent-page retrieval with LLM-based re-ranking to bridge modality disconnection within a page; (2) a Topological Cross-Page Index using Gaussian Mixture Model clustering and LLM-generated summaries for document-level long-distance reasoning across pages,"Training free: Docling PDF parser --> textual chunks (plain text, tables, layout) --> LVLM generated visual descriptions + raw images --> dual hierarchical index --> multi-granularity retriever --> LLM answer with CoT + structured output prompting",N/A,N/A,"MMLongBench-Doc, LongDocURL",N/A,N/A,VRD
25,MLDocRAG,zhang2026mldocrag,preprint,MinerU; BGE-m3; Qwen2.5-VL; FAISS/ElasticSearch; Neo4j,document parsing tool; dense text encoder; VLM for query generation and answer; vector database; graph database,Yes,Retriever-Generator Pipeline,MinerU ,CoT,Dense,N/A,"T, V, L",N/A (LVLM Qwen2.5-VL used directly on multimodal chunks),Qwen2.5-VL-32B-Instruct (default LVLM for MDoc2Query and final answer); Qwen2.5-VL-7B (MDoc2Query optimisation); Qwen2.5-72B (LLM-as-a-Judge evaluator only),QA,Qwen2.5-VL-32B generates query-answer pairs per chunk during MCQG construction and produces final answers during inference; optional parametric fine-tuning of LVLM on curated chunk-to-query exemplars,Multimodal Chunk-Query Graph (MCQG): MDoc2Query extends Doc2Query to multimodal via LVLM-generated queries from heterogeneous chunks; Chunk-Query edges + Query-Query KNN edges; query-centric KNN retrieval aggregates linked source chunks,MinerU PDF parser extracts paragraphs/figures/tables/equations into JSON -> LVLM generates answerable queries per chunk -> BGE-m3 embeds query-answer pairs (stored in FAISS/ElasticSearch) -> MCQG stored in Neo4j -> KNN retrieval -> chunk ranking -> LVLM answer generation,N/A (uses pretrained BGE-m3 and Qwen2.5-VL),N/A by default (training-free); optional parametric optimisation via fine-tuning LVLM on chunk-to-query exemplars,"MMLongBench-Doc, LongDocURL",N/A,N/A by default; optional SFT on curated chunk-to-query exemplars for parametric optimisation,"VRD (multimodal long documents: research papers, reports, books)"
26,MoLoRAG,wu2025molorag,EMNLP,ViT; Qwen2-VL; RAG,page visual encoder; VLM traversal backbone; retrieve-then-read framework,No,Retriever-Generator Pipeline,N/A,N/A,Dense,N/A,V,ColPali,"Qwen2.5-VL 3B/7B, Deepseek-VL-16B, LlaVa-Next-7B",QA,"Qwen2.5-VL-3B for lightweight retrieval and assigning logical relevance scores, Qwen2.5-VL-7B for answer generator","Construct a page level graph, then uses a lightweight VLM as retrieval engine to traverse graph and score pages on semantic similarity and logical relevance to question","ColPali to encode document and build page graph, Qwen2.5VL-3B as retrieval engine for logical relevance scoring, top K retrieved pages images fed into arbitrary LVLM for answer generation","N/A (Colpali, Qwen2.5-VL backbone)","MoLoRAG+ (curated from MMLongBenth, LongDocURL)","MMLongBench, LongDocURL, PaperTab, FetaTab",N/A,MoLoRAG+: SFT of Qwen2.5-VL-3B using LoA via LLaMA-Factory,Multi-page VRD
28,MultiDocFusion,shin2025multidocfusion,ACL,DETR / VGT (DP); Tesseract / EasyOCR / TrOCR; BGE / E5 / BM25; Mistral-8B / Llama-3.2-3B / Qwen-2.5-3B (DSHP-LLM); LoRA,layout detection models; OCR engines; text embedders and sparse retriever; instruction-tuned chunk-hierarchy LLMs; efficient fine-tuning,Yes,Retriever-Generator Pipeline,"Tesseract, EasyOCR, TrOCR",N/A,Dense (BGE / E5) or Sparse (BM25),N/A,"T, V, L",N/A (retrieval operates on detected text + layout; DP via DETR/VGT produces bounding boxes but output is text-centric chunks),"Mistral-8B, Llama-3.2-3B, Qwen-2.5-3B, Qwen-2.5-7B",QA,DSHP-LLM (LoRA-tuned Mistral-8B) reconstructs document section hierarchy as JSON Header Tree then attaches general nodes; final answer LLM (Llama-based) generates answer from retrieved hierarchical chunks,"Four-stage pipeline: (1) Document Parsing (DETR/VGT detects Titles, Section Headers, text blocks, tables, figures with bounding boxes); (2) OCR (Tesseract/EasyOCR/TrOCR extracts text); (3) DSHP-LLM (LoRA-tuned Mistral-8B parses Header Tree and attaches general nodes via All Segments list to build Document Hierarchical Tree); (4) DFS-based Grouping with max_len threshold assembles Hierarchical Chunks marked with Markdown headers",DP (vision detection) + OCR (classical engines) + DSHP-LLM (LoRA-tuned LLM for hierarchy) + DFS Grouping; top-k=4 retrieval via BGE/E5/BM25 + LLM answer generation,N/A (uses pretrained LLM/embedder/OCR/DP components),"DSHP-LLM instruction-tuned via LoRA on DocHieNet + HRDH for hierarchical parsing; downstream answer LLMs evaluated: Llama-3.2-3B, Mistral-8B, Qwen-2.5-7B","DUDE, MPVQA (MP-DocVQA), CUAD, MOAMOB",N/A,DSHP-LLM LoRA-instruction-tuned on DocHieNet + HRDH (hierarchical parsing training data); downstream generator LLMs used without explicit further fine-tuning for each VQA dataset,"Multi-page industrial / academic VRD (financial reports, scientific reports, scanned forms, legal contracts (CUAD), nuclear/specialised domain (MOAMOB))"
29,PDF-WuKong,xie2024wukong,preprint,LLaVA; Qwen2-VL; ViT; LoRA,VLM architecture template; language backbone; visual encoder; efficient fine-tuning,Yes*,Retriever-Generator Pipeline,"Grobid, MinerU (PDF parsing)",N/A,Joint,N/A,"T, V",IXC2-VL-4KHD,IXC2-VL-4KHD,QA,LLM (BGE-M3),Introduce a Sparse Sampling module (task) to identify and extract the most relevant text chunks or diagrams based similary. Contrastive learning ,The output from the text and image encoder are used to contrastive leraning and then feed into llm. ,N/A,N/A,DocVQA ChartQA InfoVQA,N/A,Fine-tuned on inference dataset (training set) with contrastive learning loss.,"VRD, Chart"
30,RAG-DocVQA,lopez2025enhancing,ICDAR,VT5 / Pix2Struct / Qwen2.5-VL-7B-Instruct; bge-en-small-v1.5; bge-reranker-v2-m3; DIT (dit-base-finetuned-rvlcdip); LoRA,generator backbones; bi-encoder; cross-encoder reranker; document image transformer for VT5 visual crops; efficient fine-tuning,Yes*,Retriever-Generator Pipeline,Unspecified (Dataset Provided),N/A,Dense,N/A,"T, V, L (V, L for OCR-free variant)","DiT, Pix2Struct","VT5,Qwen2.5-VL-7B-Instruct",QA,VT5 decoder generates answers from fused text + bbox + DIT-encoded image crops; Qwen2.5-VL-7B-Instruct generates answers from concatenated chunk text + question + prompt with each chunk image embedded via Qwen's vision encoder; Pix2Struct encodes tiled mini-patches with 2D positional indices and generates the answer,"Three-stage RAG pipeline (indexing, retrieval, generation) with two variants: (1) Textual RAG - chunks OCR tokens (L=60, overlap 10, tolerance 0.2), fine-tuned bge-en-small-v1.5 bi-encoder retrieves top-k'=20, bge-reranker-v2-m3 cross-encoder reranks to top-k=10, concatenates chunk text+boxes+image crop into generator (VT5 or Qwen2.5-VL-7B); (2) Visual RAG - vertical patches (P=512, overlap 256), Pix2Struct encodes patches + query (rendered as image), ColBERT-style late interaction selects top-k=5 patches, tiled as mini-patches for Pix2Struct generator","Bi-encoder (bge-en-small-v1.5, ~33M) + Cross-encoder (bge-reranker-v2-m3, ~568M) + Generator (VT5 ~223M / Qwen2.5-VL-7B ~7000M / Pix2Struct ~282M); DIT for VT5 image crops",N/A (uses pretrained backbones),"Bi-encoder contrastive fine-tuned per dataset on query-chunk pairs (Multiple-Negatives Ranking Loss); VT5 fully fine-tuned (AdamW, lr=2e-4, 4 epochs); Qwen2.5-VL-7B LoRA (alpha=16, rank=8, dropout=0.05) on Q/V projections; Pix2Struct uses pre-existing dataset-fine-tuned weights","MP-DocVQA, DUDE, InfographicVQA",N/A,Bi-encoder: MNR Loss contrastive with synthetic anchor-positive pairs (ANLS > 0.8 threshold); VT5: full fine-tuning; Qwen2.5-VL-7B: LoRA on Q/V; Pix2Struct: dataset-pretrained weights used directly,Multi-page VRD
32,Self-Attention Scoring,kang2024multi,ICDAR,Pix2Struct; ViT,page scoring backbone; patch encoder,No,Retriever-Generator Pipeline,N/A,N/A,Dense,N/A,V,Pix2Struct,Pix2Struct,QA,N/A,Convert document to image fed into Pix2Struct; page scoring to retrieve relevant pages using self-attention,Self-attention top-K retrieval + Pix2Struct VLM,N/A,MP-DocVQA T/V set,MP-DocVQA,N/A,N/A,VRD
35,VDocRAG,tanaka2025vdocrag,CVPR,CLIP; Qwen2-VL; RAG; LoRA,contrastive visual embedding; VLM backbone; retrieve-then-read paradigm; parameter-efficient fine-tuning,No*,Retriever-Generator Pipeline,N/A,N/A,Dense,N/A,V,Phi3V-4.2B,Phi3V-4.2B,QA,"Phi3V (4.2B, primary) and Idefics3 (8B, alternative) for LLM backbone in VDocRetriever and as VDocGenerator for answer generation respectively","2 component RAG framework (VDocRetriever + VDocGenerator) , retriever uses pretrained LVLM to compress entire page images into dense EOS token embeddings aligned with OCR content","LVLM based dual encoding of queries and document images, maximum inner product search for retrieval, top-K retrieved page images concatenated with question is used to generate answer autoregressively","Phi3V, DocStruct4M (VDocRetriever)","DocVQA, InfoVQA, VisualMRC, ChartQA, OpenWikiTable, DUDE, MPMQA, MHDocVQA","InfoVQA, DUDE, chartVQA, SlideVQA (zero-shot))","VDocRetrieve pre-trained on 500K document image-OCR pairs using 2 objectives: RCR + RCG, LLM frozen, only LoRA + projector updated","VDocRetriever fine-tuned with contrastive learning on OpenDocVQA query-document pairs, VDocGenerator fine tuned with next -token prediction on same dataset","VRD, open domain"
,,,,,,,,,,,,,,,,,,,,,,,,
,Checked,,,,,Yes = fully OCR-dependent,,,"Note: ReAct is based on CoT, if Prompt Strategy is ReAct, just means paper specifically mentions ReAct",,,,,,,,,,,,,,,
,Not Checked,,,,,"Yes* = not fully OCR-dependent, OCR is just a component of the overall architecture, model can run without OCR with worse performance",,,,,,,,,,,,,,,,,,
,Unsure,,,,,"No* = OCR not explicitly used at inference, but used during PT/IT as an explicit training step",,,,,,,,,,,,,,,,,,
